R package version: 0.0-39
Treatment: 30
Medium: 100mM_HU_CSM 
Screen ID: QFA0044
Screen name: G4Quad_Drugs
Libraries: SDLV4_384
Client: EJA
User: EJA
PI: DAL
Date: 2011/10/17
Fitness definition: MDRMDP
Condition: 100mM_HU_CSM 
#########################################################
Gene	ORF	MedianFit	MeanFit	VarianceFit	NumRepeats	SEFit
VPS8	YAL002W	74.9143257723513	73.0009421824634	1242.11759361413	4	17.6218443530617
YAL004W	YAL004W	133.394133299457	132.112119214325	856.993355951784	4	14.6372244291036
SSA1	YAL005C	99.7228807727367	101.639875273407	1389.12757761233	4	18.6355009163446
ERP2	YAL007C	125.516178497425	130.265670059953	201.218740151169	4	7.09257957571095
FUN14	YAL008W	131.351389604972	129.226547320845	374.704483556787	4	9.67864251272856
MDM10	YAL010C	74.0312365423843	63.0821451390089	1971.74794555587	4	22.2021842706741
SWC3	YAL011W	115.890461951907	112.967343177139	471.344327349798	4	10.8552329241454
DEP1	YAL013W	115.263547903673	114.013702390244	256.988038275358	4	8.01542323079945
SYN8	YAL014C	160.674279686566	154.181915538515	653.645606882185	4	12.7832469162004
NTG1	YAL015C	128.756091076695	131.912611030324	412.934334319627	4	10.1603928851156
PSK1	YAL017W	138.411099987399	132.068332706741	217.447194893684	4	7.37304541715437
LDS1	YAL018C	127.102547658914	128.663542721774	198.661659249028	4	7.04736935403963
FUN30	YAL019W	122.050863033923	127.31465702943	655.0378798073	4	12.7968539083567
ATS1	YAL020C	152.815161136059	149.907639477305	511.615721183828	4	11.3094619808352
FUN26	YAL022C	148.16641232571	142.730990621597	650.873596839315	4	12.7561122294306
PMT2	YAL023C	134.089930703062	133.441357973204	266.338234587167	4	8.15993619134315
LTE1	YAL024C	108.507282141724	109.120010636364	475.588584460218	4	10.9039967954441
DRS2	YAL026C	100.629775339707	107.242841622018	560.140337052543	4	11.8336420540396
SAW1	YAL027W	124.921298416212	134.55592529823	1131.06146436188	4	16.8156286260868
FRT2	YAL028W	123.612436377279	120.586920984284	235.675140636687	4	7.67585729148033
MYO4	YAL029C	125.627128261197	132.181959859714	488.583579351168	4	11.0519633928905
SNC1	YAL030W	149.98677328302	155.900067548834	1472.24698230606	4	19.1849353810878
GIP4	YAL031C	123.401620806702	127.410932232024	261.792375327411	4	8.08999961877952
FUN19	YAL034C	131.359464710364	133.359871092323	268.104731154028	4	8.18695198401133
RBG1	YAL036C	145.840445166639	140.445314873738	555.95891499649	4	11.7893905164399
YAL037W	YAL037W	148.304800147943	146.779079244998	828.829359746309	4	14.3946983273904
CLN3	YAL040C	153.759177822444	152.062539709145	1045.204829963	4	16.1648138712065
ERV46	YAL042W	137.852232134942	136.928370861125	170.130105735036	4	6.52169659166685
YAL043C-A	YAL043C-A	141.631316925816	145.772696494681	562.751635613766	4	11.8611934013168
YAL045C	YAL045C	140.302030792336	139.564642670882	299.705252476172	4	8.65599867831801
AIM1	YAL046C	104.949174138887	104.302482888033	5.21438133530623	4	1.14175099466852
GEM1	YAL048C	12.3935279221994	33.3647982000317	2657.0641507475	4	25.773359068753
AIM2	YAL049C	134.836974429278	134.559340955507	163.897969723424	4	6.40113212102796
OAF1	YAL051W	160.199730239631	165.432251238644	631.78198274104	4	12.5676368377376
FLC2	YAL053W	131.730614875039	132.295986132817	100.934734567587	4	5.02331400988398
ACS1	YAL054C	168.268431636057	175.492080859931	1022.33748781102	4	15.9870063474297
PEX22	YAL055W	140.478486603956	142.122233302785	30.2029574503311	4	2.74786087031035
GPB2	YAL056W	140.339905330903	133.546858806223	623.168341269066	4	12.4816699730952
YAL058C-A	YAL058C-A	115.149468778745	117.278002824667	268.087533323408	4	8.18668939992547
CNE1	YAL058W	128.28714842391	128.457833720342	308.273403798099	4	8.77885818028317
ECM1	YAL059W	111.030019414951	121.095843398812	1241.9859131529	4	17.6209102570845
BDH1	YAL060W	125.166773339052	126.107107513904	238.596159387241	4	7.72327908642504
BDH2	YAL061W	158.411204872932	157.492867941698	2182.45357721875	4	23.3583688279958
GDH3	YAL062W	118.914090006013	121.607279908653	212.249793303282	4	7.28439759525938
TDA8	YAL064C-A	145.778726774794	147.257755880069	529.672644611956	4	11.5073090317845
YAL065C	YAL065C	117.667027042644	92.4289117263828	3859.04368479657	4	31.0606007861912
YAL066W	YAL066W	137.078193052558	130.919237099614	350.834852885707	4	9.36529301311106
SEO1	YAL067C	132.956796020167	131.15055087283	434.615328293419	4	10.4237148883378
PAU8	YAL068C	136.029545914809	141.136487574153	623.515488763317	4	12.4851460620543
ERP1	YAR002C-A	163.826453873063	163.768034480499	1257.54482015674	4	17.7309392035274
NUP60	YAR002W	11.7166513914069	46.0141776103839	5959.92686752373	4	38.6002813057228
SWD1	YAR003W	0	6.15704725871437	151.636923784169	4	6.15704725871437
